"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_008308",4.96643569741163,4.60448077708536,4.2353698270337,5.06095369892064,3.6006436615446,5.8948618569982,2.62067796923318,6.07351531922416,4.89775720687189,6.33530078520107,5.84037108218628,4.03515097530623
"AAD021_008310",7.25976532285386,7.8237001526185,7.29892747900015,8.06172416349755,7.51854186713364,8.00576397583253,8.36540978939583,8.13177354828969,8.51234690853989,7.92653407975956,7.83824036983213,8.49723808007077
"AAD021_008311",7.39913094637177,7.76302234798357,7.52324130577274,7.82859648629141,6.78922867267471,6.98915671815903,7.56245796267438,7.04552156794593,7.62573135736022,6.74574590648351,7.84884481732421,7.34126604537797
"AAD021_008315",2.84157593141221,0.393138807152526,5.50389084526191,3.92579970061594,4.6243261414277,3.73065224896748,3.33109351143865,2.3154883718827,0.393138807152526,3.90823683836098,3.44754801370016,3.51016369397334
"AAD021_008316",2.21610893827559,3.11227138339045,3.40792573070434,3.27756063609224,3.42026450704185,4.23736210323596,2.62067796923318,0.393138807152526,3.69724485078838,3.90823683836098,4.27950023185751,3.63190692169442
"AAD021_008317",4.17576353566838,5.5755551886098,4.95869150023189,5.40778207432769,4.77348946339447,7.08660210418491,4.66586884887961,6.63990528945552,6.4679999442807,6.96012720207101,6.78558301964478,6.75022268219536
"AAD021_008318",4.17576353566838,4.85816074920731,5.36800675816984,3.52827685908055,4.9716809708088,5.88715108609344,5.70180699491518,5.75089670752971,6.4679999442807,6.15715282840589,5.1289528552406,6.35546685202377
"AAD021_008321",5.30904889851934,5.37372562167273,4.51896161711854,2.97140156493069,3.71666227573688,5.13873884534633,2.62067796923318,4.59315467557982,3.69724485078838,5.26776279380751,4.59484597288527,4.71939541307602
"AAD021_008324",6.12001017375132,6.24208952551169,5.36800675816984,5.06095369892064,4.45783237978198,5.19608101252287,4.4308238594698,5.51576455568595,5.25571042112924,5.58230346424233,5.10079737817221,4.48339200451416
"AAD021_008328",4.65954642317376,5.71029759584645,5.05040189568789,3.92579970061594,4.08132620594639,6.00583109300704,4.86777549021084,5.33455400679452,5.66647210358229,5.2079462963942,5.48525750212307,4.77279362341553
"AAD021_008329",4.0764444800277,3.3552181548587,4.06923902889389,4.98029348803901,4.08132620594639,4.34300913366003,4.14946488985269,3.73199947889195,3.43958375527462,2.82191123734486,4.25407672697834,3.84781002251846
"AAD021_008331",5.62109137013149,4.93365468683812,3.66427996827843,3.92579970061594,3.5514248831403,5.42646227285682,0.393138807152526,4.59315467557982,4.27063895736491,4.78495881075981,5.76170459965004,4.417777550575
"AAD021_008335",5.26482221033272,3.90225637292884,3.66427996827843,4.23604130027947,3.83074685197107,3.64087922891853,4.14946488985269,4.22655402767029,4.79237392114033,3.90823683836098,4.71129884158926,3.94456388983438
"AAD021_008337",4.51570965755939,3.90225637292884,4.06923902889389,4.08934415800992,4.30422491365721,3.86340291876633,4.86777549021084,3.40002281722952,3.69724485078838,4.41271972641239,4.44583513195523,4.12031932029461
"AAD021_008338",7.02829581744077,6.51171936974343,6.84142886406427,6.97541608232391,6.92905328843609,6.67458104137173,7.30917673700035,7.58087445688803,7.46390551282323,6.99589990241373,7.34874192764663,6.45662064366211
"AAD021_008339",2.21610893827559,2.43786452024297,5.36800675816984,5.68707213876894,7.08027844978503,5.14522422433738,5.80363690927405,5.75089670752971,4.41992962760212,6.21901370523178,5.68798081241669,4.417777550575
"AAD021_008340",3.7285941473766,3.90225637292884,4.06923902889389,3.52827685908055,4.21814992532923,4.36546290859296,3.79861771303625,3.40002281722952,2.11206802401087,4.18265213321939,5.02789879855412,2.65930866357545
"AAD021_008349",5.62109137013149,5.13891686847725,4.64215185021664,5.20985418538364,4.10411910689166,4.36546290859296,5.20235441858818,5.33455400679452,4.79237392114033,4.61088153843418,4.80160900284297,4.71939541307602
"AAD021_008353",5.78656195278273,6.05222716069665,5.43755097940038,5.46814084273011,6.10270569384776,7.63554041579495,5.34436974042002,6.78815087649847,7.37563301515296,6.3629640773656,6.81616945246849,6.9368449139502
"AAD021_008356",5.62109137013149,4.6941150170874,3.09375155748527,4.6029456750894,3.56802304733602,4.4830323389021,4.86777549021084,0.393138807152526,3.91508274581449,4.70055757453579,4.65425349564633,4.20068729425783
"AAD021_008357",5.54918761016194,4.04596037477905,3.88115099911345,2.00301407994545,2.93086848429965,3.23537692425686,2.62067796923318,4.59315467557982,4.10391592131074,3.74821781440161,3.65757722789079,3.37685848148295
"AAD021_008358",6.04359769081311,5.13891686847725,4.2353698270337,6.00476886444858,4.41300040021854,4.77032799493246,5.20235441858818,5.42800785155583,5.60564189717428,5.53442275408462,5.18366281532194,4.87397937344808
"AAD021_008362",3.85425238124928,4.2960702414643,4.38417828719491,4.36906796187228,4.11538036691777,4.27345221336314,3.33109351143865,5.59848002585215,5.25571042112924,6.12519769359718,5.47433205928854,4.60624237134047
"AAD021_008366",4.43799005759036,4.85816074920731,4.86072915875452,4.36906796187228,4.3525377784229,4.60116222486669,5.20235441858818,4.22655402767029,3.43958375527462,4.30230811478686,4.67352165656733,4.6639339296443
"AAD021_008367",4.58943057388956,4.6941150170874,5.36800675816984,3.52827685908055,4.5055791464585,4.56285702185373,3.33109351143865,4.42155595573757,4.10391592131074,4.51522283544502,4.06218396410705,4.03515097530623
"AAD021_008369",4.58943057388956,4.2960702414643,4.2353698270337,3.74095547899667,3.40181143324194,3.58414041993319,3.33109351143865,2.96362573277677,4.27063895736491,3.36072870936351,3.20037124552991,2.39841515599898
"AAD021_008371",3.7285941473766,4.2960702414643,3.66427996827843,4.08934415800992,3.16993532009866,3.23537692425686,4.14946488985269,4.42155595573757,3.91508274581449,3.90823683836098,3.87424935981263,3.94456388983438
