"gene","module"
"AAD021_007789","lightgreen"
"AAD021_007792","tan"
"AAD021_007794","pink"
"AAD021_007796","pink"
"AAD021_007797","magenta"
"AAD021_007798","lightcyan"
"AAD021_007799","blue"
"AAD021_007800","darkred"
"AAD021_007801","plum1"
"AAD021_007802","black"
"AAD021_007805","tan"
"AAD021_007807","violet"
"AAD021_007811","turquoise"
"AAD021_007812","pink"
"AAD021_007815","blue"
"AAD021_007817","green"
"AAD021_007819","greenyellow"
"AAD021_007820","midnightblue"
"AAD021_007821","grey60"
"AAD021_007822","plum1"
"AAD021_007828","yellow"
"AAD021_007829","turquoise"
"AAD021_007831","midnightblue"
"AAD021_007837","blue"
"AAD021_007838","cyan"
"AAD021_007839","turquoise"
"AAD021_007840","magenta"
"AAD021_007841","turquoise"
"AAD021_007842","royalblue"
"AAD021_007843","darkgreen"
"AAD021_007845","royalblue"
"AAD021_007848","black"
"AAD021_007849","brown"
"AAD021_007850","yellow"
"AAD021_007852","turquoise"
"AAD021_007853","black"
"AAD021_007855","lightgreen"
"AAD021_007856","orange"
"AAD021_007860","paleturquoise"
"AAD021_007862","magenta"
"AAD021_007863","blue"
"AAD021_007864","royalblue"
"AAD021_007865","sienna3"
"AAD021_007866","violet"
"AAD021_007868","turquoise"
"AAD021_007869","blue"
"AAD021_007871","greenyellow"
"AAD021_007872","plum1"
"AAD021_007873","red"
"AAD021_007875","grey"
"AAD021_007876","brown"
"AAD021_007877","black"
"AAD021_007878","black"
"AAD021_007880","turquoise"
"AAD021_007883","purple"
"AAD021_007884","brown"
"AAD021_007885","greenyellow"
"AAD021_007888","turquoise"
"AAD021_007890","brown"
"AAD021_007891","brown"
"AAD021_007892","darkolivegreen"
"AAD021_007894","white"
"AAD021_007895","green"
"AAD021_007896","pink"
"AAD021_007897","blue"
"AAD021_007898","darkred"
"AAD021_007899","yellow"
"AAD021_007900","turquoise"
"AAD021_007901","pink"
"AAD021_007905","magenta"
"AAD021_007906","magenta"
"AAD021_007909","yellow"
"AAD021_007910","grey"
"AAD021_007911","skyblue"
"AAD021_007912","lightyellow"
"AAD021_007913","blue"
"AAD021_007914","red"
"AAD021_007915","purple"
"AAD021_007916","black"
"AAD021_007919","turquoise"
"AAD021_007920","turquoise"
"AAD021_007921","lightgreen"
"AAD021_007922","lightcyan"
"AAD021_007923","tan"
"AAD021_007924","blue"
"AAD021_007925","red"
"AAD021_007926","blue"
"AAD021_007929","grey60"
"AAD021_007930","lightgreen"
"AAD021_007931","magenta"
"AAD021_007933","magenta"
"AAD021_007934","yellow"
"AAD021_007935","blue"
"AAD021_007937","yellow"
"AAD021_007938","blue"
"AAD021_007940","brown"
"AAD021_007941","brown"
"AAD021_007945","green"
"AAD021_007946","darkmagenta"
"AAD021_007947","green"
"AAD021_007948","red"
"AAD021_007951","magenta"
"AAD021_007952","violet"
"AAD021_007954","yellowgreen"
"AAD021_007955","yellow"
"AAD021_007956","steelblue"
"AAD021_007957","darkorange"
"AAD021_007959","yellow"
"AAD021_007960","grey60"
"AAD021_007961","red"
"AAD021_007962","yellow"
"AAD021_007963","blue"
"AAD021_007964","red"
"AAD021_007967","black"
"AAD021_007970","green"
"AAD021_007971","mediumpurple3"
"AAD021_007977","turquoise"
"AAD021_007981","skyblue"
"AAD021_007982","violet"
"AAD021_007984","yellow"
"AAD021_007987","green"
"AAD021_007989","magenta"
"AAD021_007993","lightsteelblue1"
"AAD021_007994","orange"
"AAD021_007995","black"
"AAD021_007996","magenta"
"AAD021_007998","turquoise"
"AAD021_007999","turquoise"
"AAD021_008001","darkturquoise"
"AAD021_008002","plum1"
"AAD021_008003","black"
"AAD021_008004","sienna3"
"AAD021_008005","purple"
"AAD021_008006","black"
